Team,Opponent,Home/Away,Possession,Fouls,Yellow Cards,Red Cards,Passes,Shots,On Target,Goals,Allowed,Result,Team SPI,Opponent SPI,SPI Difference,Team xG,Opponent xG,Team nsxG,Opponent nsxG,Total Generated,Total Conceded
Liverpool,Newcastle,Home,71.8,9,0,0,624,23,6,2,1,W,90.03,72.1,17.93,1.58,0.62,2.99,0.75,4.57,1.37
Newcastle,Liverpool,Away,28.2,10,2,0,255,5,2,1,2,L,72.1,90.03,-17.93,0.62,1.58,0.75,2.99,1.37,4.57
Leicester,Manchester United,Home,53.9,7,1,0,595,10,2,0,1,L,69.54,74.09,-4.55,0.67,0.98,0.68,1.21,1.35,2.19
Manchester United,Leicester,Away,46.1,15,3,0,513,9,2,1,0,W,74.09,69.54,4.55,0.98,0.67,1.21,0.68,2.19,1.35
Everton,Liverpool,Home,39.1,7,2,0,302,14,3,0,0,D,63.25,89.99,-26.74,1.38,1.58,0.99,2.27,2.37,3.85
Liverpool,Everton,Away,60.9,11,2,0,469,23,8,0,0,D,89.99,63.25,26.74,1.58,1.38,2.27,0.99,3.85,2.37
Brentford,Leeds,Home,31.1,8,2,0,218,14,8,5,2,W,69.93,65.21,4.72,2.68,1.66,0.87,2.03,3.55,3.69
Leeds,Brentford,Away,68.9,9,2,0,488,17,6,2,5,L,65.21,69.93,-4.72,1.66,2.68,2.03,0.87,3.69,3.55
Nottingham,Bournemouth,Home,52.7,13,2,0,486,11,3,2,3,L,56.03,53.98,2.05,1.43,0.91,1.07,1.11,2.5,2.02
Bournemouth,Nottingham,Away,47.3,10,1,0,442,8,3,3,2,W,53.98,56.03,-2.05,0.91,1.43,1.11,1.07,2.02,2.5
Newcastle,Crystal Palace,Home,51.7,19,2,0,359,23,6,0,0,D,72.21,71.2,1.01,3.09,0.97,2.57,0.98,5.66,1.95
Crystal Palace,Newcastle,Away,48.3,12,1,0,362,19,9,0,0,D,71.2,72.21,-1.01,0.97,3.09,0.98,2.57,1.95,5.66
Spurs,Fulham,Home,51.9,9,3,0,475,23,10,2,1,W,81.56,62.08,19.48,3.55,0.41,2.47,0.42,6.02,0.83
Fulham,Spurs,Away,48.1,6,4,0,433,9,3,1,2,L,62.08,81.56,-19.48,0.41,3.55,0.42,2.47,0.83,6.02
Wolves,Southampton,Home,50.8,10,4,0,432,7,2,1,0,W,67.98,63.48,4.5,1.03,1.27,0.77,1.74,1.8,3.01
Southampton,Wolves,Away,49.2,14,2,0,406,12,1,0,1,L,63.48,67.98,-4.5,1.27,1.03,1.74,0.77,3.01,1.8
Chelsea,West Ham,Home,68.1,6,4,0,661,8,3,2,1,W,81.87,70.37,11.5,1,1.09,0.77,0.38,1.77,1.47
West Ham,Chelsea,Away,31.9,11,2,0,308,6,3,1,2,L,70.37,81.87,-11.5,1.09,1,0.38,0.77,1.47,1.77
Aston Villa,Manchester City,Home,27.7,7,2,0,287,3,1,1,1,D,70.15,92.24,-22.09,0.24,2.17,0.37,1.99,0.61,4.16
Manchester City,Aston Villa,Away,72.3,6,0,0,763,13,4,1,1,D,92.24,70.15,22.09,2.17,0.24,1.99,0.37,4.16,0.61
Brighton,Leicester,Home,53.5,6,1,0,493,23,11,5,2,W,75.43,69.07,6.36,2.75,1.16,2.06,0.61,4.81,1.77
Leicester,Brighton,Away,46.5,8,1,0,436,6,4,2,5,L,69.07,75.43,-6.36,1.16,2.75,0.61,2.06,1.77,4.81
Manchester United,Arsenal,Home,39.5,13,3,0,310,10,6,3,1,W,74.96,81.4,-6.44,2.06,1.59,1.01,1.82,3.07,3.41
Arsenal,Manchester United,Away,60.5,9,3,0,465,16,3,1,3,L,81.4,74.96,6.44,1.59,2.06,1.82,1.01,3.41,3.07
Nottingham,Fulham,Home,40.8,11,2,0,375,11,3,2,3,L,54.98,61.45,-6.47,1.68,1.49,0.74,1.15,2.42,2.64
Fulham,Nottingham,Away,59.2,10,4,0,555,15,7,3,2,W,61.45,54.98,6.47,1.49,1.68,1.15,0.74,2.64,2.42
Aston Villa,Southampton,Home,52.7,13,3,0,420,11,3,1,0,W,70.24,64.15,6.09,1.18,0.34,1.25,0.49,2.43,0.83
Southampton,Aston Villa,Away,47.3,13,1,0,376,7,1,0,1,L,64.15,70.24,-6.09,0.34,1.18,0.49,1.25,0.83,2.43
Wolves,Manchester City,Home,40.8,7,2,1,422,6,1,0,3,L,67.59,92.7,-25.11,0.34,1.49,0.6,2.01,0.94,3.5
Manchester City,Wolves,Away,59.2,9,1,0,622,16,7,3,0,W,92.7,67.59,25.11,1.49,0.34,2.01,0.6,3.5,0.94
